So thou, thyself out-going in thy noon,	s	Hope soothes me in the griefs I know ; 	b
Unlook'd on diest, unless thou get a son.	s	Can rob us of the past. 	b
Music to hear, why hear'st thou music sadly?	s	That now I cannot feel ! 	b
Sweets with sweets war not, joy delights in joy.	s	That Death he took a certain aim, 	b
Why lovest thou that which thou receivest not gladly,	s	The grave is drear, but they are not there : 	b
That is so proud thy service to despise,	s	Away, away, resign thee now 	b
Look in thy glass, and tell the face thou viewest	s	How every drift in their glens profound 	b
By unions married, do offend thine ear,	s	Or bless not me with heaven ! * 	b
They do but sweetly chide thee, who confounds	s	There is no need of other sound 	b
In singleness the parts that thou shouldst bear.	s	Of youth's delight, when youth is past, 	b
Mark how one string, sweet husband to another,	s	Day by day some dreary token 	b
Strikes each in each by mutual ordering,	s	But hope is dead for him. 	b
Resembling sire and child and happy mother	s	She scarcely feels the flow ; 	b
Who all in one, one pleasing note do sing:	s	Faltering, faint, and ready to die. 	b
Whose speechless song, being many, seeming one,	s	Begins another voyage nay, they 're gone ; 	b
Sings this to thee: 'thou single wilt prove none.'	s	1 see them foaming high ; 	b
Is it for fear to wet a widow's eye	s	Before their hearts went wandering wrong, 	b
That thou consumest thyself in single life?	s	From tracking farther day by day, 	b
Ah! if thou issueless shalt hap to die.	s	Day breathes such beauty over earth and sky, 	b
The world will wail thee, like a makeless wife;	s	Raised on my pillow, to descry 	b
The world will be thy widow and still weep	s	And, in the red fire's cheerful glow, 	b
That thou no form of thee hast left behind,	s	And Lord Eldred glancing round, 	b
When every private widow well may keep	s	And thou false friend and treacherous guide 	b
By children's eyes her husband's shape in mind.	s	And never radiant bow could be 	b
Look, what an unthrift in the world doth spend	s	Drinks tears, instead of dew ; 	b
Shifts but his place, for still the world enjoys it;	s	A winter sunset in the west 	b
But beauty's waste hath in the world an end,	s	A faithless heart to thee ? 	b
And kept unused, the user so destroys it.	s	And let Thy holy Spirit shine 	b
No love toward others in that bosom sits	s	Darken that triumphant eye ! 	b
That on himself such murderous shame commits.	s	Blood-red, he rose, and, arrow-straight, 	b
For shame! deny that thou bear'st love to any,	s	Where tears and mourning cannot come. 	b
And so the general of hot desire	s	That wander down to drink the tide. 	b
Grant, if thou wilt, thou art beloved of many,	s	Enough if storms have bowed his head, 	b
But that thou none lovest is most evident;	s	Even Memory's voice grew dim ; 	b
For thou art so possess'd with murderous hate	s	For round their hearths they'll tell this 	b
That 'gainst thyself thou stick'st not to conspire.	s	Yet, loved one, it must be : 	b
Seeking that beauteous roof to ruinate	s	More drear I cannot be ! 	b
Which to repair should be thy chief desire.	s	Those sad relics scattered round ; 	b
'I hate' from hate away she threw,	s	The giant sons of Anakim 	b
Shall hate be fairer lodged than gentle love?	s	Sweet, how softly sweet it came 	b
Be, as thy presence is, gracious and kind,	s	And all around his youthful brow 	b
Or to thyself at least kind-hearted prove:	s	With alien breezes sadly blent. 	b
That beauty still may live in thine or thee.	s	All her cherished hopes should wane, 	b
As fast as thou shalt wane, so fast thou growest	s	SWART steed of night, thou hast charged thy last 	b
In one of thine, from that which thou departest;	s	Its face is fair divinely fair ; 	b
Thou mayst call thine when thou from youth convertest.	s	It will not, cannot rise ; 	b
Without this, folly, age and cold decay:	s	But if that night bring only sleep, 	b
If all were minded so, the times should cease	s	Deep in unknown eternity ; 	b
And threescore year would make the world away.	s	How could I seek the empty world again ? 	b
Let those whom Nature hath not made for store,	s	My eyes are full of tears, 	b
Harsh featureless and rude, barrenly perish:	s	No later light has lightened up my heaven, 	b
She carved thee for her seal, and meant thereby	s	Where evening closes dark and chill ; 	b
Those lips that Love's own hand did make	s	The soul to feel the flesh, and the flesh to feel the 	b
When I do count the clock that tells the time,	s	Concludes thy musing once again ? 	b
And see the brave day sunk in hideous night;	s	' O DAY ! he cannot die 	b
When I behold the violet past prime,	s	To breathe its bliss on me ; 	b
When lofty trees I see barren of leaves	s	Through this false world, their all had 	b
Which erst from heat did canopy the herd,	s	The stream in silence sang once more 	b
And summer's green all girded up in sheaves	s	And woke her with a sudden song ; 	b
Borne on the bier with white and bristly beard,	s	Roderic, for thee shall never rise ! 	b
Then of thy beauty do I question make,	s	With my consoling tear? 	b
That thou among the wastes of time must go,	s	To the enduring seas 	b
Since sweets and beauties do themselves forsake	s	THE ABSENT ONE 	b
And nothing 'gainst Time's scythe can make defence	s	O then another daybreak 	b
Save breed, to brave him when he takes thee hence.	s	And grew in another bed ; 	b
O, that you were yourself! but, love, you are	s	1 Oh, for the time when I shall sleep 	b
No longer yours than you yourself here live:	s	DREAM, where art thou now ? 	b
Against this coming end you should prepare,	s	Such tears as I weep it is not so ! 	b
And your sweet semblance to some other give.	s	And voiceless, soulless, messenger, 	b
Find no determination: then you were	s	O gallant horse, hold on thy course ; 	b
Yourself again after yourself's decease,	s	But still they gave no certain token 	b
Who lets so fair a house fall to decay,	s	The captive raised her face ; it was as soft and 	b
Which husbandry in honour might uphold	s	To the deadliest press of the gathering fight 	b
Against the stormy gusts of winter's day	s	Though not because my heart is tame, 	b
And barren rage of death's eternal cold?	s	' And why should we be glad at all ? 	b
O, none but unthrifts! Dear my love, you know	s	Oh, for the day, when I shall rest, 	b
You had a father: let your son say so.	s	Weaned my young soul from yearning after thine ; 	b
Not from the stars do I my judgment pluck;	s	1 And thou art gone with all thy pride ; 	b
And yet methinks I have astronomy,	s	They were clothed in savage attire ; 	b
But not to tell of good or evil luck,	s	For the woe I could not bear 	b
Of plagues, of dearths, or seasons' quality;	s	Than other love, more true? 	b
Making a famine where abundance lies,	s	Must always fade, and always cloy : 	b
Or say with princes if it shall go well,	s	One long look, that sore reproved me 	b
By oft predict that I in heaven find:	s	I am thinking of my latest shock, 	b
But from thine eyes my knowledge I derive,	s	For now might Faith decay. 	b
And, constant stars, in them I read such art	s	Sit beneath the ancient thorn. 	b
If from thyself to store thou wouldst convert;	s	And morning's beams will rise as drear. 	b
Or else of thee this I prognosticate:	s	Their happy souls are gone to God I 	b
Thy end is truth's and beauty's doom and date.	s	Buried in a hapless tomb. 	b
The boy for trial needs would touch my breast;	s	Clouded, even as they would weep. 	b
That this huge stage presenteth nought but shows	s	And, while the wide earth echoing rung 	b
Whereon the stars in secret influence comment;	s	I ne'er had raised this coward cry 	b
Cheered and check'd even by the self-same sky,	s	To leave our children slaves ! 	b
Vaunt in their youthful sap, at height decrease,	s	She heard the river's restless wave 	b
And wear their brave state out of memory;	s	The vast crowds vanished every one ; 	b
Then the conceit of this inconstant stay	s	And 'mid flowery, smiling plains ; 	b
Sets you most rich in youth before my sight,	s	That we may overflow the sky 	b
Where wasteful Time debateth with Decay,	s	I shall smile when wreaths of snow 	b
To change your day of youth to sullied night;	s	Till the tufted leaves of the garden bower 	b
And all in war with Time for love of you,	s	But not of wail for men ! 	b
But wherefore do not you a mightier way	s	Ah ! no : with louder sound 	b
Make war upon this bloody tyrant, Time?	s	Gone by as if they 'd never been ; 	b
And fortify yourself in your decay	s	No ; turn towards the western side. 	b
With means more blessed than my barren rhyme?	s	Or unreal phantoms of distress ! 	b
Now stand you on the top of happy hours,	s	Her spirit is the unfathomed lake 	b
Much liker than your painted counterfeit:	s	Adoring virtue's distant star. 	b
So should the lines of life that life repair,	s	ON a sunny brae alone I lay 	b
Which this, Time's pencil, or my pupil pen,	s	Wrought up in rain and wailing wind : 	b
No marvel then, though I mistake my view;	s	Youthful he seemed but worn as they 	b
Can make you live yourself in eyes of men.	s	THE evening sun was sinking down 	b
To give away yourself keeps yourself still,	s	Exhausted with repinings vain, 	b
And you must live, drawn by your own sweet skill.	s	The grass-grown grave, did lie, 	b
Who will believe my verse in time to come,	s	Daughter divine ! and could his gaze 	b
Though yet, heaven knows, it is but as a tomb	s	Where will these bright things be ? 	b
Which hides your life and shows not half your parts.	s	The grand remains of ancient state. 	b
If I could write the beauty of your eyes	s	And, all for listening, never sleep. 	b
And in fresh numbers number all your graces,	s	In all His works displayed. 	b
The age to come would say 'This poet lies:	s	To greet the general glow. 	b
Such heavenly touches ne'er touch'd earthly faces.'	s	With a wild and passing thrill, 	b
So should my papers yellow'd with their age	s	Are shadowed by her hand at last 	b
Be scorn'd like old men of less truth than tongue,	s	grant thy prayer ? 	b
And your true rights be term'd a poet's rage	s	To wander through the snow. 	b
But were some child of yours alive that time,	s	Nor ever let my spirit tire, 	b
Commanded by the motion of thine eyes?	s	And while on that reflected face 	b
Thou art more lovely and more temperate:	s	And cold suspicion never rise ; 	b
Rough winds do shake the darling buds of May,	s	Where thou, and I, and Liberty, 	b
And summer's lease hath all too short a date:	s	Burned within the avenging flame : 	b
Sometime too hot the eye of heaven shines,	s	It is but thought full many a night 	b
And often is his gold complexion dimm'd;	s	For them a thousand hopes remain, 	b
And every fair from fair sometime declines,	s	The evening comes before the noon, 	b
By chance or nature's changing course untrimm'd;	s	With heart as summer sunshine light 	b
But thy eternal summer shall not fade	s	A wanderer o'er the Atlantic main ; 	b
And let that pine to aggravate thy store;	s	Till sorrow's source were dry, 	b
Nor shall Death brag thou wander'st in his shade,	s	Could that sacrifice have purchased 	b
When in eternal lines to time thou growest:	s	Its green boughs in the breezy sky. 	b
So long as men can breathe or eyes can see,	s	And cheek almost as white as death, 	b
So long lives this and this gives life to thee.	s	Was it with the fields of green, 	b
Devouring Time, blunt thou the lion's paws,	s	Have long forgot their vow ; 	b
And make the earth devour her own sweet brood;	s	The flowers of Fancy, newly-blown : 	b
Pluck the keen teeth from the fierce tiger's jaws,	s	The starry halls of Elrington 	b
And burn the long-lived phoenix in her blood;	s	This glorious vision of a grove, 	b
Make glad and sorry seasons as thou fleets,	s	New glories o'er the blighted spring, 	b
And do whate'er thou wilt, swift-footed Time,	s	Wild the road, and rough and dreary ; 	b
To the wide world and all her fading sweets;	s	And yet there is or seems at least to be 	b
But I forbid thee one most heinous crime:	s	1 Our guests are darkly lodged,' I whisper'd, gazing 	b
O, carve not with thy hours my love's fair brow,	s	And only wake with you ! 	b
Nor draw no lines there with thine antique pen;	s	Bowed lowest at thy shrine, 	b
Him in thy course untainted do allow	s	The little glittering spirits sung, 	b
For beauty's pattern to succeeding men.	s	And every vision of old Afric's shore 	b
Yet, do thy worst, old Time: despite thy wrong,	s	And my remorse shall die. 	b
My love shall in my verse ever live young.	s	And sweeter hope, when hope despairs ! 	b
A woman's face with Nature's own hand painted	s	When the wearied host of the conqueror lies 	b
Hast thou, the master-mistress of my passion;	s	And the purple violet sweet ; 	b
A woman's gentle heart, but not acquainted	s	This day on Elmor Hill ! ! ! ' 	b
With shifting change, as is false women's fashion;	s	While heaven and earth are whispering me, 	b
An eye more bright than theirs, less false in rolling,	s	His own creation's dread despair ! 	b
Gilding the object whereupon it gazeth;	s	King Julius lifts his impious eye 	b
A man in hue, all 'hues' in his controlling,	s	Round her returning sight appear 	b
Much steals men's eyes and women's souls amazeth.	s	In English fields my limbs were laid, 	b
And for a woman wert thou first created;	s	I dreamt one dark and stormy night 	b
Till Nature, as she wrought thee, fell a-doting,	s	The spirit sent his dazzling gaze 	b
And by addition me of thee defeated,	s	It gathers up thoughts akin to madness, 	b
By adding one thing to my purpose nothing.	s	My heart's blood flows to buy the blessing to 	b
But since she prick'd thee out for women's pleasure,	s	I was at peace, and drank your beams 	b
Mine be thy love and thy love's use their treasure.	s	Might fill with sympathy. 	b
So is it not with me as with that Muse	s	To twilight's shade forlorn ? 	b
Stirr'd by a painted beauty to his verse,	s	What made her weep, what made her glide 	b
Who heaven itself for ornament doth use	s	A wider sound than mountain wind 	b
And every fair with his fair doth rehearse	s	Yet still steeped in memory's dyes 	b
Making a couplement of proud compare,	s	Above me, in that stormless sea, 	b
With sun and moon, with earth and sea's rich gems,	s	I long to hope that all the woe 	b
With April's first-born flowers, and all things rare	s	In summer's pride imbue 	b
O' let me, true in love, but truly write,	s	Then I shall rest, while thou wilt weep. 	b
And then believe me, my love is as fair	s	Yet ever in my grateful breast 	b
To make me give the lie to my true sight,	s	Where thick the leaves are dancing, 	b
As those gold candles fix'd in heaven's air:	s	It was thus I said as her graceful head 	b
Let them say more than like of hearsay well;	s	My mortal flesh you might debar, 	b
I will not praise that purpose not to sell.	s	They gain the rock's steep wall. 	b
My glass shall not persuade me I am old,	s	Ye earthly cares begone ! 	b
So long as youth and thou are of one date;	s	Or Virtue crouched to Infamy ; 	b
But when in thee time's furrows I behold,	s	For I Ve been consecrate to grief 	b
Then look I death my days should expiate.	s	Some were dazzling like the sun ; 	b
For all that beauty that doth cover thee	s	That struggles in thy breast 	b
Is but the seemly raiment of my heart,	s	A murmuring round the wall. 	b
Which in thy breast doth live, as thine in me:	s	My downy couch with silk was hung. 	b
How can I then be elder than thou art?	s	And helpless Reason warn in vain ; 	b
O, therefore, love, be of thyself so wary	s	Glides through the maze of pleasure wild. 	b
As I, not for myself, but for thee will;	s	And Peace, the lethargy of Grief ; 	b
Bearing thy heart, which I will keep so chary	s	And Hope, a phantom of the soul ; 	b
As tender nurse her babe from faring ill.	s	He ever held in his arms. 	b
Presume not on thy heart when mine is slain;	s	LADYBIRD ! ladybird ! fly away home, 	b
Thou gavest me thine, not to give back again.	s	And trembling yet to hear his name, 	b
As an unperfect actor on the stage	s	While nightly stars are burning, 	b
And taught it thus anew to greet:	s	While evening pours its silent dew, 	b
Or some fierce thing replete with too much rage,	s	And will not heaven itself bestow 	b
Whose strength's abundance weakens his own heart.	s	I trust not to thy phantom bliss, 	b
So I, for fear of trust, forget to say	s	'My master's voice is low, his aspect bland and 	b
The perfect ceremony of love's rite,	s	Yet the faint wind comes soothingly 	b
And in mine own love's strength seem to decay,	s	Round walls where only you are vigil keeping? 	b
O'ercharged with burden of mine own love's might.	s	To-morrow both shall soar away, 	b
O, let my books be then the eloquence	s	Winds sigh as you are sighing, 	b
And dumb presagers of my speaking breast,	s	Entreating, till his eyes o'erflowed, 	b
More than that tongue that more hath more express'd.	s	Gaze on the wretch recall to mind 	b
O, learn to read what silent love hath writ:	s	My spirit should startle their rest and tell, 	b
When I break twenty? I am perjured most;	s	Since misery was such misery. 	b
Mine eye hath play'd the painter and hath stell'd	s	To dungeons where a prisoner lies? 	b
Thy beauty's form in table of my heart;	s	PLEAD FOR ME 	b
My body is the frame wherein 'tis held,	s	STILL beside that dreary water 	b
And perspective it is the painter's art.	s	And now the twilight calm and sweet 	b
For through the painter must you see his skill,	s	They stood by mute and pale ; 	b
To find where your true image pictured lies;	s	Restored into the Deity.' 	b
Which in my bosom's shop is hanging still,	s	And tell why I have chosen thee ! 	b
But, love, hate on, for now I know thy mind;	s	A prayer that would come forth altho' it lingered 	b
Past cure I am, now reason is past care,	s	And twenty years of tyrant pride 	b
Mine eyes have drawn thy shape, and thine for me	s	O'er all the crossing thoughts that overflowed. 	b
Delights to peep, to gaze therein on thee;	s	No, radiant angel, speak and say 	b
Yet eyes this cunning want to grace their art;	s	And it sprung and flourished ; 	b
They draw but what they see, know not the heart.	s	Thou bear'st the dim tie of ceaseless dreams, 	b
Let those who are in favour with their stars	s	The earth shone round with a long-lost charm : 	b
Of public honour and proud titles boast,	s	For Thine own sake, be Thou its guide, 	b
Whilst I, whom fortune of such triumph bars,	s	It had gathered beauty from sunshine and shower, 	b
Unlook'd for joy in that I honour most.	s	BETWEEN distress and pleasure 	b
Great princes' favourites their fair leaves spread	s	Glance from her eyes, with mimic rays, 	b
But as the marigold at the sun's eye,	s	The moor-lark in the air, 	b
And in themselves their pride lies buried,	s	And saw my offerings on their shrine ; 	b
The painful warrior famoused for fight,	s	I thought that Gabriel's self had come 	b
Is from the book of honour razed quite,	s	Weighed beneath a mortal sleep ; 	b
And all the rest forgot for which he toil'd:	s	So, with a ready heart, I swore 	b
Then happy I, that love and am beloved	s	To seek their altar-stone no more ; 	b
Where I may not remove nor be removed.	s	His soul has felt the storm below, 	b
Lord of my love, to whom in vassalage	s	Behold him 1 	b
Thy merit hath my duty strongly knit,	s	And set my spirit free ? 	b
To witness duty, not to show my wit:	s	He must have once been beautiful, 	b
Duty so great, which wit so poor as mine	s	Because we dare not stay to gain 	b
May make seem bare, in wanting words to show it,	s	Like vultures round their prey. 	b
But that I hope some good conceit of thine	s	A weak and helpless prey ! 	b
In thy soul's thought, all naked, will bestow it;	s	How loud the storm sounds round the hall ! 	b
Till whatsoever star that guides my moving	s	My darling pain that wounds and sears, 	b
Points on me graciously with fair aspect	s	Rude the couch that rests us weary ; 	b
And puts apparel on my tatter'd loving,	s	Rested from the battle's roar ; 	b
To show me worthy of thy sweet respect:	s	As she would seek repose ; 	b
Then may I dare to boast how I do love thee;	s	Mine eye to meet her eye ; 	b
Till then not show my head where thou mayst prove me.	s	And am I wrong to worship where 	b
Weary with toil, I haste me to my bed,	s	wind that blows ; 	b
The dear repose for limbs with travel tired;	s	Of heavy rain or tempest near. 	b
But then begins a journey in my head,	s	Would part and sunlight shone between, 	b
To work my mind, when body's work's expired:	s	And tell why I have chosen thee ! 	b
For then my thoughts, from far where I abide,	s	* THE evening passes fast away, 	b
And keep my drooping eyelids open wide,	s	Lips, that did breathe no murmuring 	b
Looking on darkness which the blind do see	s	The wild birds raise their brood ; 	b
Save that my soul's imaginary sight	s	What feelings in thy breast?' 	b
Presents thy shadow to my sightless view,	s	One moment, ere I go 	b
Which, like a jewel hung in ghastly night,	s	Of labour hardly done ; 	b
Makes black night beauteous and her old face new.	s	A thousand thousand silvery lyres 	b
Lo! thus, by day my limbs, by night my mind,	s	But this world's life has much to dread, 	b
For thee and for myself no quiet find.	s	What shadow is it 	b
And thither hied, a sad distemper'd guest,	s	Bliss like thine is bought by years 	b
That am debarr'd the benefit of rest?	s	'Tis sweet to wander here at night, 	b
But found no cure: the bath for my help lies	s	I 'M happiest now when most away 	b
But day by night, and night by day, oppress'd?	s	One gleam of her heaven-bright face to see. 	b
Do in consent shake hands to torture me;	s	And Time should Fate condemn ; 	b
The one by toil, the other to complain	s	Which coming death denied ; 	b
How far I toil, still farther off from thee.	s	* Then art thou glad to seek repose ? 	b
I tell the day, to please them thou art bright	s	The bee among the heather bells 	b
Till my bad angel fire my good one out.	s	AND first an hour of mournful musing, 	b
So flatter I the swart-complexion'd night,	s	And earth looks back so dazzling bright 	b
When sparkling stars twire not thou gild'st the even.	s	As the dear friend untimely called away ; 	b
Then, beauteous niggard, why dost thou abuse	s	And call a lovelier Life from Death, 	b
And night doth nightly make grief's strength	s	I breathed not but to send above 	b
When, in disgrace with fortune and men's eyes,	s	That comforts me while thou art here, 	b
I all alone beweep my outcast state	s	Palace and temple crown the glade. 	b
And look upon myself and curse my fate,	s	As one who mourns the dead. 	b
Wishing me like to one more rich in hope,	s	Why did the morning dawn to break 	b
Featured like him, like him with friends possess'd,	s	And would not pass away ! 	b
Desiring this man's art and that man's scope,	s	Lament their absence drear ; 	b
With what I most enjoy contented least;	s	Over my western beauty's grave, 	b
Haply I think on thee, and then my state,	s	Patriot fathers' bloody tombs ; 	b
Like to the lark at break of day arising	s	Would rather fight than rest. ' 	b
That then I scorn to change my state with kings.	s	No ; that tree with branches riven 	b
When to the sessions of sweet silent thought	s	And sleet and frozen gloom ? 	b
I summon up remembrance of things past,	s	With my dear comrades young and gay, 	b
I sigh the lack of many a thing I sought,	s	This very crowd is vacancy ; 	b
And with old woes new wail my dear time's waste:	s	I chide with my soul I bid it cherish 	b
For precious friends hid in death's dateless night,	s	From bleak December's sky ? 	b
And weep afresh love's long since cancell'd woe,	s	They deluge my heart like the rain 	b
And moan the expense of many a vanish'd sight:	s	Within its mossy cell. 	b
Then can I grieve at grievances foregone,	s	How gloomy grows the night ! Tis Gondal's 	b
And heavily from woe to woe tell o'er	s	But God is not like human kind, 	b
The sad account of fore-bemoaned moan,	s	Shall meet our dearest, when we die ; 	b
O me, what eyes hath Love put in my head,	s	Buried in moors and mountains wild, 	b
All losses are restored and sorrows end.	s	Defeat serenely borne, 	b
Are windows to my breast, where-through the sun	s	Which but because more broken gleams 	b
And there reigns love and all love's loving parts,	s	And visions rise, and change, that kill me with 	b
And all those friends which I thought buried.	s	The tiny fountain, churning spray 	b
How many a holy and obsequious tear	s	Saved thee from a deadlier thrall. 	b
Hath dear religious love stol'n from mine eye	s	Even where he yearns to be I 	b
As interest of the dead, which now appear	s	From the fresh root of Eternity ! 	b
But things removed that hidden in thee lie!	s	And I may sing and muse aloud, 	b
Thou art the grave where buried love doth live,	s	Their timid forms to guard from harm ; 	b
Who all their parts of me to thee did give;	s	I love thee, boy, for all divine, 	b
Then, gentle cheater, urge not my amiss,	s	From the dark marble to the sky, 	b
Their images I loved I view in thee,	s	Sorrow passed, and plucked the golden blossom ; 	b
And thou, all they, hast all the all of me.	s	And hush that music's solemn sound, 	b
If thou survive my well-contented day,	s	But, within its parent's kindly bosom, 	b
When that churl Death my bones with dust shall cover,	s	My love, altho' the very dead 	b
And shalt by fortune once more re-survey	s	Without the veil between. 	b
These poor rude lines of thy deceased lover,	s	Can friendship's flower droop for years 	b
Compare them with the bettering of the time,	s	Will forsake thy memory, 	b
And though they be outstripp'd by every pen,	s	All mist and tempest free? 	b
Reserve them for my love, not for their rhyme,	s	And, behold ! with tenfold increase blessing, 	b
Exceeded by the height of happier men.	s	Spring adorned the beauty-burdened spray ; 	b
O, then vouchsafe me but this loving thought:	s	The moonbeams softly shine. 	b
'Had my friend's Muse grown with this growing age,	s	For many a week and many a day 	b
A dearer birth than this his love had brought,	s	The waveless ocean of repose. 	b
To march in ranks of better equipage:	s	Than Native's heaven can pour. 	b
How much more praise deserved thy beauty's use,	s	Down through that ocean's gloomy night ; 	b
Theirs for their style I'll read, his for his love.'	s	Cruel Death ! The young leaves droop and 	b
Full many a glorious morning have I seen	s	When flowers were closed and day was o'er 	b
Flatter the mountain-tops with sovereign eye,	s	No ! the morning sunshine mocks my anguish 	b
Kissing with golden face the meadows green,	s	The thrilling shouts of fighting men, 	b
